trip_id,arrival_time,departure_time,stop_id,sequence,pickup_type,drop_off_type
1077012,12:29:00,12:29:00,3894,5,0,0
1077013,11:59:00,11:59:00,3894,5,0,0
1077014,11:29:00,11:29:00,3894,5,0,0
1077015,10:59:00,10:59:00,3894,5,0,0
1077016,10:29:00,10:29:00,3894,5,0,0
1077017,9:59:00,9:59:00,3894,5,0,0
1077018,9:29:00,9:29:00,3894,5,0,0
1077019,8:59:00,8:59:00,3894,5,0,0
1077020,8:29:00,8:29:00,3894,5,0,0
1077021,7:59:00,7:59:00,3894,5,0,0
1077022,7:32:00,7:32:00,3894,5,0,0
1077023,6:59:00,6:59:00,3894,5,0,0
1077024,6:29:00,6:29:00,3894,5,0,0
1077025,7:18:00,7:18:00,3894,5,0,0
1077045,21:58:00,21:58:00,3894,5,0,0
1077046,20:58:00,20:58:00,3894,5,0,0
1077047,19:58:00,19:58:00,3894,5,0,0
